Михайловa Инна МГУ Факультет_4 Очное 3 1 Новосибирск 20
Попов Кирилл MIT Факультет_1 Очное 2 1 Новосибирск 22
Никитин Алексей MIT Факультет_4 Очное 3 2 Новосибирск 22
Павловa Любовь МГУ Факультет_2 Заочное 3 1 Новосибирск 23
Соколов Валентин Hogwarts Факультет_4 Очное 3 3 Пенза 21
Фёдоровa Валерия Hogwarts Факультет_3 Очное 1 3 Крыжополь 18
Степановa Алина МГУ Факультет_4 Заочное 4 4 Санкт-Петербург 23
Егоровa София Hogwarts Факультет_2 Очное 1 4 Крыжополь 18
Кузнецов Артур MIT Факультет_4 Очное 4 2 Москва 24
Васильев Роман Hogwarts Факультет_2 Очное 1 1 Крыжополь 19
Поповa Софья Hogwarts Факультет_4 Очное 5 2 Новосибирск 24
Макаровa Ника MIT Факультет_2 Очное 6 1 Пенза 24
Алексеевa Анастасия MIT Факультет_1 Заочное 1 3 Санкт-Петербург 20
Попов Григорий Hogwarts Факультет_4 Очное 3 3 Новосибирск 20
Соколов Василий MIT Факультет_1 Очное 5 3 Крыжополь 22
Поповa Надежда МГУ Факультет_3 Заочное 1 3 Москва 21
Козлов Сергей MIT Факультет_4 Заочное 5 1 Москва 22
Андреевa Ева МГУ Факультет_2 Заочное 5 1 Москва 23
Иванов Аркадий MIT Факультет_4 Очное 4 3 Пенза 22
Фёдоровa Евгения Hogwarts Факультет_3 Заочное 3 1 Москва 23
Никитин Руслан МГУ Факультет_1 Заочное 2 2 Крыжополь 20
Макаров Павел MIT Факультет_1 Очное 5 2 Москва 22
